Nothing was hit, theta was 0, rho was -2.84706834231575
Nothing was hit, theta was 0, rho was -2.89615572752809
Nothing was hit, theta was 0, rho was -2.94524311274043
Nothing was hit, theta was 0, rho was -2.99433049795277
Nothing was hit, theta was 0, rho was -3.04341788316511
Nothing was hit, theta was 0, rho was -3.09250526837745
Nothing was hit, theta was 0, rho was -3.14159265358979
Nothing was hit, theta was 0.0490873852123405, rho was 3.14159265358979
Nothing was hit, theta was 0.0490873852123405, rho was 3.09250526837745
Nothing was hit, theta was 0.0490873852123405, rho was 3.04341788316511
Nothing was hit, theta was 0.0490873852123405, rho was 2.99433049795277
Nothing was hit, theta was 0.0490873852123405, rho was 2.94524311274043
Nothing was hit, theta was 0.0490873852123405, rho was 2.89615572752809
Nothing was hit, theta was 0.0490873852123405, rho was 2.84706834231575
Nothing was hit, theta was 0.0490873852123405, rho was 2.79798095710341
Nothing was hit, theta was 0.0490873852123405, rho was 2.74889357189107
Nothing was hit, theta was 0.0490873852123405, rho was 2.69980618667873
Nothing was hit, theta was 0.0490873852123405, rho was 2.65071880146639
Nothing was hit, theta was 0.0490873852123405, rho was 2.60163141625405
Nothing was hit, theta was 0.0490873852123405, rho was 2.55254403104171
Nothing was hit, theta was 0.0490873852123405, rho was 2.50345664582937
Nothing was hit, theta was 0.0490873852123405, rho was 2.45436926061703
Nothing was hit, theta was 0.0490873852123405, rho was 2.40528187540469
Nothing was hit, theta was 0.0490873852123405, rho was 2.35619449019235
Nothing was hit, theta was 0.0490873852123405, rho was 2.30710710498001
Nothing was hit, theta was 0.0490873852123405, rho was 2.25801971976767
Nothing was hit, theta was 0.0490873852123405, rho was 2.20893233455533
Nothing was hit, theta was 0.0490873852123405, rho was 2.15984494934299
Nothing was hit, theta was 0.0490873852123405, rho was 2.11075756413065
Nothing was hit, theta was 0.0490873852123405, rho was 2.06167017891831
Nothing was hit, theta was 0.0490873852123405, rho was 2.01258279370597
Nothing was hit, theta was 0.0490873852123405, rho was 1.96349540849362
Nothing was hit, theta was 0.0490873852123405, rho was 1.91440802328128
Nothing was hit, theta was 0.0490873852123405, rho was 1.86532063806894
Nothing was hit, theta was 0.0490873852123405, rho was 1.8162332528566
Nothing was hit, theta was 0.0490873852123405, rho was 1.76714586764426
Nothing was hit, theta was 0.0490873852123405, rho was 1.71805848243192
Nothing was hit, theta was 0.0490873852123405, rho was 1.66897109721958
Nothing was hit, theta was 0.0490873852123405, rho was 1.61988371200724
Nothing was hit, theta was 0.0490873852123405, rho was 1.5707963267949
Nothing was hit, theta was 0.0490873852123405, rho was 1.52170894158256
Nothing was hit, theta was 0.0490873852123405, rho was 1.47262155637022
Nothing was hit, theta was 0.0490873852123405, rho was 1.42353417115788
Nothing was hit, theta was 0.0490873852123405, rho was 1.37444678594554
Nothing was hit, theta was 0.0490873852123405, rho was 1.3253594007332
Nothing was hit, theta was 0.0490873852123405, rho was 1.27627201552086
Nothing was hit, theta was 0.0490873852123405, rho was 1.22718463030852
Nothing was hit, theta was 0.0490873852123405, rho was 1.17809724509618
Nothing was hit, theta was 0.0490873852123405, rho was 1.12900985988383
Nothing was hit, theta was 0.0490873852123405, rho was 1.07992247467149
Nothing was hit, theta was 0.0490873852123405, rho was 1.03083508945915
Nothing was hit, theta was 0.0490873852123405, rho was 0.981747704246813
Nothing was hit, theta was 0.0490873852123405, rho was 0.932660319034472
Nothing was hit, theta was 0.0490873852123405, rho was 0.883572933822132
Nothing was hit, theta was 0.0490873852123405, rho was 0.834485548609791
Nothing was hit, theta was 0.0490873852123405, rho was 0.785398163397451
Nothing was hit, theta was 0.0490873852123405, rho was 0.73631077818511
Nothing was hit, theta was 0.0490873852123405, rho was 0.68722339297277
